,context_1,context_2,context_3,question_1,question_2,question_3,answerA_1,answerA_2,answerA_3,answerB_1,answerB_2,answerB_3,answerC_1,answerC_2,answerC_3,correct
9008,O anjo Tracy guarda os portões celestiais e traz novas almas para o seu julgamento.,O anjo Tracy guarda as portas do céu e traz novas almas para seu julgamento.,O anjo Tracy guarda os portões celestiais e traz novas almas para o julgamento.,O que Austin vai querer fazer a seguir?,O que queremos por Austin?,O que é que o Austin vai querer fazer a seguir?,Chame o blefe de Deus,chamar de deus bluff,Chama-lhe bluff de Deus.,Chamar o Bluff de Tracy,Chama-se bluff de Tracy,"- Não, não.",Ir para o céu,ir ao céu,ir para o céu,C
9009,"Remy fumou como uma chaminé, apesar dos repetidos avisos de outros sobre as preocupações com a saúde.","A minha era fumada como chaminé, apesar de alertas repetidos de outros sobre","Remy fumava como uma chaminé, apesar de repetidos avisos de outros sobre as preocupações de saúde.",Como você descreveria Remy?,Como descreveria a Remy?,Como descreveria o Remy?,Desculpa por não ouvir,vergonha de não ouvir,Desculpa não ter escutado .,uma pessoa muito casual,uma pessoa muito casual,Uma pessoa muito casual.,As pessoas irritadas ficavam dizendo-lhe o que fazer,pessoas incomodadas mantiveram-no o que fazer,As pessoas irritadas diziam-lhe o que fazer.,C
9010,"Sasha disse a Quinn o lugar onde eles deveriam se encontrar para comer, mas Quinn nunca apareceu.","Sasha contou Quinn o local onde deveriam se reunir até comer, mas Quinn nunca apareceu","Sasha disse ao Quinn onde se deviam encontrar para comer, mas o Quinn nunca apareceu.",O que vai acontecer com Quinn?,O que acontecerá com Quinn?,O que vai acontecer ao Quinn?,Envie textos irritados para Quinn,enviar textos de raiva para Quinn,Enviar mensagens de texto zangadas para Quinn,Planeje encontrar-se com outro dia,planeia reunir- se num outro dia,Planejam encontrar-se noutro dia.,Almoçamos juntos,comer de almoço em conjunto,almoçar juntos,B
9011,Robin foi a única pessoa que falou com seu irmão quando ele voltou homw.,Robin foi a única pessoa que falou com o irmão quando retornou homw.,A Robin foi a única pessoa que falou com o irmão quando ele voltou para casa.,Como os outros se sentiriam como resultado?,Como os outros se sentiriam como resultado?,Como se sentiriam os Outros?,Como se tivessem que falar com o irmão.,Como eles chegaram a conversar com o irmão,Como se tivessem de falar com o irmão.,Como se perdessem,como faltaram,Como se tivessem perdido .,A conversa foi ótima,a conversação foi grande,A conversa foi óptima.,B
9012,"Riley e Tracy se casaram com o mesmo homem, então Riley matou Tracy.",Riley e Tracy casaram o mesmo homem que Riley matou Tracy.,"A Riley e a Tracy casaram-se com o mesmo homem, por isso a Riley matou a Tracy.",Como você descreveria Riley?,Como descreveria Riley?,Como descreveria a Riley?,Uma pessoa gentil,Uma pessoa do género,Uma pessoa simpática.,Uma pessoa carinhosa,Uma pessoa que cuida,Uma pessoa carinhosa,Uma pessoa cruel,Uma pessoa cruel,Uma pessoa cruel.,C
9013,Casey tinha um amigo que eles queriam conhecer. Casey conheceu o amigo no bar.,"Casey tinha um amigo que queria conhecer, Casey conheceu o amigo no bar.",O Casey tinha um amigo que queriam conhecer.,Porque é que o Casey fez isto?,Por que o Casey?,Porque fez o Casey isto?,compartilhar receitas culinárias,partilha de receitas de cozinha,Compartilhar receitas de cozinha,Encontre coisas em comum,encontrar coisas em comum,Encontrar coisas em comum,Beba com o Casey,usufruir de Casey,tomar uma bebida com o Casey.,C
9014,Jesse construiu uma casa na árvore de madeira no quintal de Addison para que eles pudessem jogar videogames nela.,Jesse construiu uma casa de madeira no pátio de Addison para que pudessem jogar videogames nele,O Jesse construiu uma casa de madeira no quintal da Addison para poderem jogar videojogos.,Porque é que o Jesse fez isto?,Por que Jesse fez isso?,Porque é que o Jesse fez isto?,assistir filmes na casa da árvore,assistir filmes na casa da árvore,Ver filmes na casa da árvore,Entre na casa da árvore,entrar em casa de árvore,Vai para a casa da árvore.,jogar com Addison,Brincar com Addison,brincar com a Addison .,C
9015,"Austin tinha ido a uma festa toda a noite na noite anterior, então ele passou toda a tarde dormindo.","Austin já havia ido a uma festa noturna na noite anterior, então ele estava todo de tarde do","O Austin tinha ido a uma festa de noite inteira na noite anterior, então ele passou a tarde toda dormindo.",Por que Austin fez isso?,Por que o Austin?,Porque é que o Austin fez isto?,tomar uma aspirina,toma uma aspirina,tomar uma aspirina,Atingir o seu sono,catch up no seu sono,"- Não, não.",Beba um pouco de água,beber água,Beba água.,B
9016,"Casey estava se sentindo sobrecarregado com muita coisa acontecendo em sua vida, Kai apoiou Casey e definiu a vida de Casey em termos fáceis para ajudar Casey a lidar com cada edição, um por um.","Casey estava se sentindo sobrecarregado com a corrida de vida, Kai apoiou Casey","O Casey estava a sentir-se sobrecarregado com muita coisa a acontecer na vida deles, o Kai apoiou o Casey e definiu a vida do Casey em termos fáceis para ajudar o Casey a lidar com cada problema um por um.",Por que Kai fez isso?,Por que o Kai fez isso?,Porque é que o Kai fez isto?,não apoiar Casey,Não apoiar Casey,Não apoiar o Casey.,Apoio Casey,Apoio Casey,Apoia o Casey .,mostrar Casey as coisas eram incontroláveis,Mostrar que as coisas de Casey não foram geridas,Mostrar ao Casey que as coisas eram incontroláveis.,B
9017,Alex era tão gentil que o filho de Lee se abraça para mostrar gratidão.,Alex foi tão tipo que os filhos de Lee abraçam para demonstrar gratidão.,Alex foi tão gentil que abraçaram o filho de Lee para mostrar gratidão.,O que Lee sentiria depois?,O que Lee sentiria depois?,O que é que o Lee sentiria depois?,Perturbado que Alex estava abraçando seus filhos,Incômodo com Alex em agarrar seus filhos,Infelizes por o Alex estar a abraçar os filhos deles.,confuso por que Alex queria abraçar alguém,confuso por que Alex queria acolher alguém,Perguntado por que o Alex queria abraçar alguém,feliz que Alex iria abraçar seus filhos,feliz que Alex abrasse seus filhos,felizes por o Alex abraçar os filhos deles,C
9018,Remy trabalhou duro para resolver o crime e recebeu uma recompensa mais tarde.,Remy trabalhou muito para resolver o crime e recebeu uma recompensa mais tarde.,Remy trabalhou duro para resolver o crime e recebeu uma recompensa mais tarde.,Por que Remy fez isso?,Por que a Remy fez isso?,Porque é que o Remy fez isto?,Seja um criminoso,ser um criminoso,ser um criminoso,Seja grato,ser gratificado,ser grato,ajuda para fora,ajuda,Ajudem-me.,C
9019,Aubrey compareceu ao casamento de seus amigos naquele dia e gostou do casamento.,Aubrey frequentava os casamentos dos amigos naquele dia e gostava do casamento.,A Aubrey foi ao casamento dos amigos e gostou do casamento.,O que Aubrey precisa fazer antes disso?,O que é necessário para o Aubrey?,O que é que o Aubrey precisa de fazer antes disto?,ter sua primeira dança como marido e mulher,ter a primeira dança como marido e esposa,ter a sua primeira dança como marido e mulher,ser convidado,ser convidado,ser convidado,Vá para outro lugar,náuseas,Vai para outro lado.,B
9020,Alex cruzou a cara de Quinn e Quinn começou a sangrar completamente.,Alex cruzou a face de Quinn e Quinn começou a sangrar-se.,A Alex cruzou a cara do Quinn e ele começou a sangrar.,O que Quinn vai querer fazer depois do soco?,O que queremos Quinn após o soco?,O que quer o Quinn fazer depois do soco?,vai puxar para fora uma arma,arrancará uma arma,Tirará uma arma.,Arranja uma faca,obter uma faca,Arranja uma faca.,parar o sangramento,parar a hemorragia,parar o sangramento,C
9021,Robin colocou o dedo na bola para que alguém pudesse subir e chutar.,Robin coloque o dedo na bola para que alguém possa vir e chute.,Robin colocou o dedo na bola para que alguém pudesse vir e chutar.,O que Robin vai querer fazer a seguir?,O que queremos por Robin?,O que vai querer fazer a seguir?,Queria marcar um field goal,quis pontuar um objetivo de campo,Queria marcar um field goal,Espere pelo kicker,aguardar o mais rápido,Espera pelo que dá o pontapé .,chutar a bola,chute na bola,Dá um pontapé na bola.,B
9022,Riley bateu para trás as multidões para que ela pudesse ver o que estava à venda.,Riley batia as multidões para ver o que estava na venda.,A Riley afastou a multidão para ver o que estava a vender.,Como você descreveria Riley?,Como descreveria Riley?,Como descreveria a Riley?,meek,án,humilde,uma corrida de adrenalina,Aceleração da adrenalina,uma onda de adrenalina,dedicado,dedicado,dedicado,C
9023,Sasha falou tanto que foi como uma milha por minuto.,Sasha falou tanto que era como uma milha por minuto.,O Sasha falou tanto que foi como uma milha por minuto.,Como Sasha se sentiria depois?,Como se sentiria Sasha depois?,Como é que o Sasha se sentiria depois?,irritada,irritação,irritado,Sentiu que ela deveria ser mais quieta,sentiu que deveria ser mais tranquila,senti que ela deveria ser mais quieta,entediada,prurido,Aborrecido.,B
9024,Jan era muito divertido de brincar com ela e todos queriam brincar com ela.,Jan foi realmente divertido para brincar e todos queriam brincar com ela.,Jan era muito divertida para brincar e todos queriam brincar com ela.,O que os outros vão querer fazer a seguir?,O que os outros querem fazer a seguir?,O que é que os outros vão querer fazer a seguir?,Faça novos jogos,fazer novos jogos,fazer novos jogos,Brincar com os outros,Brincar com outros,brincar com os outros,ir com Jan, Jan Jan,Vai com o Jan.,C
9025,Kendall abriu a porta para Ash e ambos tiveram uma longa dança naquela noite.,Kendall abriu a porta para Ash e ambos tinham uma dança longa naquela noite.,A Kendall abriu a porta para o Ash e ambos tiveram uma longa dança naquela noite.,Como Kendall se sentiria depois?,Como se sentiria Kendall depois?,Como se sentiria a Kendall depois?,Em reverência agora,em awe agora,"Agora, em admiração.",Esperança para o futuro,esperada para o futuro,com esperança para o futuro.,romântico depois daquela noite,romântico depois daquela noite,romântico depois daquela noite.,C
9026,Sasha chamou meu amigo de prostituta e meu amigo concordou.,Sasha chamou meu amigo uma harlot e meu amigo concordou.,Sasha chamou a minha amiga de prostituta e a minha amiga concordou.,Como Sasha se sentiria como resultado?,Como se sentiria Sasha como resultado?,Como se sentiria Sasha?,eles foram chocados,foram abafados,Eles ficaram chocados .,bom que outros concordaram com ela,bom que os outros concordaram com ela,Ainda bem que os outros concordaram com ela.,eles estavam orgulhosos,eles se orgulharam,Eles estavam orgulhosos .,B
9027,"A associação de Kai com Sydney aumentou, embora Sydney realmente não gostasse da empresa.","A associação de Kai com Sydney aumentou, embora Sydney não goste realmente da empresa.","A associação de Kai com Sydney aumentou, mesmo que Sydney não gostasse muito da companhia.",O que Sydney vai querer fazer a seguir?,O que queremos em seguida por Sydney?,O que é que a Sydney vai querer fazer a seguir?,Fale com Kai mais,conversar com Kai mais,Fala com o Kai mais .,Sejam simpáticos.,ser bom,Sê simpático .,Retirar-se de Kai,Retirar de Kai,Retirar-se do Kai,C
9028,"Quando Skylar propôs no jogo de futebol, Kai disse ainda não à pergunta.","Quando Skylar propôs no jogo de futebol, Kai não respondeu ainda à questão.","Quando a Skylar pediu-lhe em casamento no jogo de futebol, o Kai ainda não respondeu à pergunta.",Como Kai se sentiria depois?,Como se sentiria após o Kai?,Como é que o Kai se sentiria depois?,Um parceiro incerto,um parceiro incerto,um parceiro incerto,Não tenho certeza se eles querem se comprometer,não se certificar que desejam comprometer-se,Não sei se querem comprometer-se.,Como se estivessem sendo prejudicados,Como estão sendo prejudicados,Como se estivessem a ser prejudicados.,B
9029,"Alex sempre foi o fixador do grupo, como tal, ela rapidamente remediou a situação.","Alex foi sempre o fixo do grupo, pois assim resolveu rapidamente a situação.","Alex era sempre a solucionadora do grupo, como tal ela rapidamente corrigiu a situação.",O que Alex precisa fazer antes disso?,O que é necessário para Alex antes disso?,O que é que a Alex precisa de fazer antes disto?,Desista e vá para casa,Abrir e ir para casa,Desiste e vai para casa.,Esqueça todos os outros e se preocupe consigo mesmo,Esquecimento de todos e preocupação com a si,Esquece os outros e preocupa-te com ela.,Converse com todos os envolvidos para obter toda a história,Fale com todos os envolvidos para conseguir a história inteira,Falem com todos os envolvidos para saberem tudo.,C
9030,Sydney se vestiu para a data e colocou seu vestido favorito.,Sydney se vestiu até a data e colocou em seu traje favorito.,A Sydney vestiu-se bem para o encontro e vestiu o vestido preferido.,Como se sentiria Sydney depois?,Como senti-lo-ia depois?,Como é que a Sydney se sentiria depois?,emocionada que ela finalmente foi convidada por sua paixão,excitada que ela foi finalmente perguntada por sua ruptura.,Ela está muito contente por ter sido finalmente convidada para sair pelo seu amor.,nervoso sobre fazer uma boa primeira impressão na data,nervosismo em fazer uma boa primeira impressão na data,Nervosos por fazer uma boa primeira impressão no encontro.,confiante,Confidente,confiante,B
9031,Jesse quebrou a parte de trás do controle remoto depois de lutar por ele com seu irmão.,Jesse partiu do remoto depois de lutar por ele com o irmão.,O Jesse partiu o comando depois de lutar com o irmão.,O que sua mãe vai querer fazer a seguir?,O que a mãe quer fazer a seguir?,O que a mãe deles vai querer fazer a seguir?,Corrigir o controle remoto,fixar o,- Não .,conforto Jesse,Conforto Jesse,Consolação Jesse,Obter um novo controle remoto,obter um novo,Arranja um novo comando .,A
9032,Skylar foi ao shopping com um amigo e comprou um vestido.,Skylar foi ao shopping com um amigo e comprou um vestido.,A Skylar foi ao centro comercial com uma amiga e comprou um vestido.,Como você descreveria o Skylar?,Como descreveria o Skylar?,Como descreveria a Skylar?,um shopaholic,uma loja,um viciado em compras,arte quebrada,         ,Arte quebrada,barato,REVIS,barato,A
